Tests run: 11, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.011 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationServiceTest$SubmitNotification
Tests run: 0, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.004 s -- in uk.gov.defra.trade.imports.animals.notification.ReferenceNumberGeneratorTest
Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.001 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationSortTest
Tests run: 7, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.082 s -- in uk.gov.defra.trade.imports.animals.notification.NotificationServiceTest$SoftDeleteNotification
Tests run: 11, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.050 s -- in uk.gov.defra.trade.imports.animals.outbox.gbnag.GbnAgMapperTest
Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.003 s -- in uk.gov.defra.trade.imports.animals.outbox.gbnag.GbnAgMapperTest$MinimalAndDefaults
Tests run: 15, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.009 s -- in uk.gov.defra.trade.imports.animals.outbox.gbnag.GbnAgMapperTest$HappyPath
Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.004 s -- in uk.gov.defra.trade.imports.animals.notification.ReferenceNumberGeneratorTest$Generate
Tests run: 0, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.042 s -- in uk.gov.defra.trade.imports.animals.outbox.OutboxPollerTest
Tests run: 0, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.282 s -- in uk.gov.defra.trade.imports.animals.outbox.OutboxPublishServiceTest
Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.040 s -- in uk.gov.defra.trade.imports.animals.outbox.OutboxPollerTest$Poll
Tests run: 9, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.003 s -- in uk.gov.defra.trade.imports.animals.outbox.OutboxEventTypeTest
Tests run: 0, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.120 s -- in uk.gov.defra.trade.imports.animals.outbox.OutboxReplayServiceTest
Tests run: 6, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.120 s -- in uk.gov.defra.trade.imports.animals.outbox.OutboxReplayServiceTest$Replay
Tests run: 17, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.282 s -- in uk.gov.defra.trade.imports.animals.outbox.OutboxPublishServiceTest$PublishUnpublishedEvents
Tests run: 0, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.137 s -- in uk.gov.defra.trade.imports.animals.outbox.OutboxServiceTest
Tests run: 1, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.942 s -- in uk.gov.defra.trade.imports.animals.outbox.OutboxServiceTest$BuildAggregateId
Tests run: 2, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.017 s -- in uk.gov.defra.trade.imports.animals.outbox.OutboxServiceTest$FindByReferenceNumber
Tests run: 11, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.053 s -- in uk.gov.defra.trade.imports.animals.outbox.OutboxServiceTest$AppendEvent
Tests run: 7, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.110 s -- in uk.gov.defra.trade.imports.animals.outbox.OutboxServiceTest$VersionId
Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.219 s -- in uk.gov.defra.trade.imports.animals.service.EmfMetricsPublisherTest
Tests run: 3, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.218 s -- in uk.gov.defra.trade.imports.animals.s3.S3DocumentServiceTest
